hhno	gormet2	reg	lad	styr	stmth	mic	frez	owndw	memhh	schmilk	incgp	occhoh	sochoh	dacthoh	Finc_decile_by_members_of_hh	finctp	pernohoh	pernohw	agehoh_banded	agehw_banded	adltm	adltf	child	oaps	adltgt64	stqtr	country	gor	agemdk_banded	incgpa	hhcomp	hhcompa	hcxigs	dat1rec	doormilk	frij	earners	occxhoh	socxhoh	dactxhoh	szwkest	empst	wkdy1rec	vegind	gornw	pernxhoh	jobsthoh	incgp745	withjob	landlord	furnish	benefits
211961		2	2002	1993	6	0	1	1	2		4	2354	0	2	4	8	1	1	2	2	1	1	0	0	0	2	England	1	2	3	3	1	3	13/6/1933 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
211962		2	2002	1993	6	1	1	1	2		5	9935	0	1	2	5	1	1	5	5	0	2	0	1	0	2	England	1	5	4	3	1	4	13/6/1933 00:00:00		0	1	0	0	0	0	2	1	0	2	0	0					1
211963		2	2002	1993	6	0	0	1	1		7	9945	0	1	1	1	1	1	3	3	1	0	0	0	0	2	England	1	3	4	1	1	4	13/6/1933 00:00:00		0	0	0	0	0	0	1	1	0	2	0	0					1
211964		2	2002	1993	6	0	1	3	3		7	9945	0	1	2	1	1	1	1	1	0	1	2	0	0	2	England	1	1	4	2	2	8	13/6/1933 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					1
211965		2	2002	1993	6	1	0	6	3		7	9945	0	1	3	1	1	1	4	4	1	1	1	0	0	2	England	1	4	4	4	3	12	13/6/1933 00:00:00		0	0	0	0	0	0	1	1	0	2	0	0					1
211966		2	2018	1993	6	1	1	6	4		3	2422	0	1	9	1	2	1	4	3	2	1	1	0	0	2	England	1	3	2	10	7	26	15/6/1933 00:00:00		0	2	0	0	0	0	2	3	0	2	0	0					0
211967		2	2018	1993	6	1	1	1	3		4	1554	0	3	8	5	2	1	3	4	1	1	1	0	0	2	England	1	4	3	4	3	11	15/6/1933 00:00:00		0	2	0	0	0	0	2	3	0	2	0	0					0
211968		2	2018	1993	6	0	1	1	2		7	9945	0	1	0	9	1	1	1	1	0	1	1	0	0	2	England	1	1	4	2	2	8	15/6/1933 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					1
211969		2	2018	1993	6	1	1	6	3		4	2053	0	1	5	1	2	1	4	3	1	1	1	0	0	2	England	1	3	3	4	3	11	13/6/1933 00:00:00		0	1	0	0	0	0	2	1	0	2	0	0					0
211970		2	2018	1993	6	1	1	6	4		3	2524	0	1	10	5	1	1	4	4	3	1	0	0	0	2	England	1	4	2	9	1	2	15/6/1933 00:00:00		0	4	0	0	0	0	2	3	0	2	0	0					0
211971		2	2018	1993	6	1	1	1	4		5	9945	0	1	4	1	1	1	1	1	1	1	2	0	0	2	England	1	1	4	5	4	16	15/6/1933 00:00:00		0	1	0	0	0	0	1	3	2	2	0	0					0
211972		2	2018	1993	6	1	1	5	3		4	9955	0	1	8	5	2	1	5	5	1	2	0	0	0	2	England	1	5	3	8	1	3	13/6/1933 00:00:00		0	2	2144	0	1	0	2	1	0	2	3	0					0
211973		2	2018	1993	6	1	1	6	3		4	1544	0	2	6	5	2	1	2	2	1	1	1	0	0	2	England	1	2	3	4	3	11	16/6/1933 00:00:00		0	2	0	0	0	0	2	3	0	2	0	0					0
211974		2	2018	1993	6	1	1	6	4		3	744	0	2	8	5	2	1	3	3	1	1	2	0	0	2	England	1	3	2	5	4	14	15/6/1933 00:00:00		0	2	0	0	0	0	2	5	0	2	0	0					0
211975		2	2018	1993	6	0	1	1	1		7	9935	0	1	2	1	1	1	6	6	0	1	0	1	1	2	England	1	6	4	1	1	4	15/6/1933 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
211976		3	3002	1993	6	1	1	6	2		3	2354	0	2	9	1	2	1	5	4	1	1	0	0	0	2	England	4	4	2	3	1	2	14/6/1933 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
211977		3	3002	1993	6	1	0	5	1		8	9935	0	1	1	1	1	1	6	6	0	1	0	1	1	2	England	4	6	5	1	1	0	13/6/1933 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
211978		3	3002	1993	6	0	1	6	1		4	2354	0	2	4	7	1	1	3	3	0	1	0	0	0	2	England	4	3	3	1	1	3	15/6/1933 00:00:00		0	1	0	0	0	0	2	3	0	2	0	0					0
211979		3	3002	1993	6	1	0	6	1		3	2524	0	1	8	7	1	1	3	3	1	0	0	0	0	2	England	4	3	2	1	1	2	13/6/1933 00:00:00		0	1	0	0	0	0	2	1	0	2	0	0					0
211980		3	3002	1993	6	1	1	1	4		4	1954	0	1	0	9	2	1	3	3	2	1	1	0	0	2	England	4	3	3	10	7	27	16/6/1933 00:00:00		0	4	0	0	0	0	2	4	0	2	0	0					0
211981		3	3002	1993	6	0	1	5	1		7	9935	0	1	0	9	1	1	6	6	0	1	0	1	1	2	England	4	6	4	1	1	4	13/6/1933 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
211982		3	3002	1993	6	1	1	6	4		3	2522	0	1	8	1	2	1	2	2	1	1	2	0	0	2	England	4	2	2	5	4	14	15/6/1933 00:00:00		0	2	0	0	0	0	2	3	0	2	0	0					0
