hhno	Pregnancy_in_household	Child(ren)_under_2
208393	No	Yes
208394	No	No
208395	No	No
208396	No	No
208397	No	Yes
208398	No	No
208399	No	No
208400	No	No
208401	No	No
208402	No	No
208403	No	No
208404	No	No
208405	No	No
208406	No	No
208407	No	No
208408	No	No
208409	No	No
208410	No	No
208411	No	No
208412	No	No
208413	No	No
208414	No	No
208415	No	No
208416	No	No
208417	No	No
208418	No	No
208419	No	No
208420	No	Yes
208421	No	No
208422	No	No
208423	No	No
208424	No	No
208425	No	No
208426	No	No
208427	No	No
208428	No	No
208429	No	No
208430	No	No
208431	No	No
208432	No	No
208433	No	No
208434	No	No
208435	No	No
208436	No	No
208437	Yes	Yes
208438	No	Yes
208439	No	No
208440	No	No
208441	No	No
208442	No	No
208443	No	No
208444	No	No
208445	No	No
208446	No	No
208447	No	No
208448	No	No
208449	No	No
208450	No	No
208451	No	No
208452	No	No
208453	No	Yes
208454	No	No
208455	No	No
208456	No	No
208457	No	Yes
208458	No	No
208459	Yes	No
208460	No	No
208461	No	No
208462	No	No
208463	No	No
208464	No	No
208465	No	Yes
208466	No	No
208467	No	No
208468	No	No
208469	No	No
208470	No	Yes
208471	No	Yes
208472	No	No
208473	No	No
208474	No	No
208475	No	No
208476	No	No
208477	No	No
208478	No	No
208479	No	No
208480	No	No
208481	No	No
208482	No	No
208483	No	No
208484	No	No
208485	No	No
208486	No	No
208487	No	No
208488	No	No
208489	No	No
208490	No	No
208491	No	No
208492	No	No
208493	No	Yes
208494	Yes	No
208495	No	No
208496	No	No
208497	No	No
208498	No	No
208499	No	No
208500	No	No
208501	No	No
208502	No	No
208503	No	No
208504	No	No
208505	No	No
208506	No	No
208507	No	No
208508	No	No
208509	No	Yes
208510	No	No
208511	No	No
208512	No	No
208513	No	No
208514	No	No
208515	No	No
208516	No	No
208517	No	No
208518	No	No
208519	No	No
208520	No	No
208521	No	No
208522	No	No
208523	No	No
208524	No	No
208525	No	No
208526	No	No
208527	No	No
208528	No	No
208529	No	No
208530	No	Yes
208531	No	No
208532	No	No
208533	No	No
208534	No	No
208535	No	No
208536	No	No
208537	No	No
208538	No	No
208539	No	Yes
208540	No	No
208541	No	No
208542	No	No
208543	No	No
208544	No	No
208545	No	No
208546	No	No
208547	No	Yes
208548	No	No
208549	No	Yes
208834	No	No
208835	No	No
208836	No	No
208837	No	No
208838	No	No
208839	No	No
208840	No	No
208841	No	No
208842	No	No
208843	No	Yes
208844	No	No
208845	No	No
208846	No	No
208847	No	No
208848	No	No
208849	No	No
208850	No	No
208851	No	No
208852	No	No
208853	No	No
208854	No	No
208855	No	No
208856	No	No
208857	No	No
208858	No	No
208859	No	No
208860	No	No
208861	No	No
208862	No	No
208863	No	No
208864	No	No
208865	Yes	No
208866	No	No
208867	No	No
208868	No	No
208869	No	No
208870	No	No
208871	No	No
208872	No	No
208873	No	No
208874	No	No
208875	No	No
208876	No	Yes
208877	No	No
208878	No	No
208879	Yes	No
208880	No	No
208881	No	No
208882	No	No
208883	No	Yes
208884	No	No
208885	No	No
208886	No	No
208887	No	No
208888	No	No
208889	No	Yes
208890	No	No
208891	No	No
208892	No	No
208893	No	No
208894	No	Yes
208895	No	No
208896	No	No
208897	No	No
208898	No	No
208899	No	Yes
208900	No	No
208901	No	Yes
208902	No	No
208903	No	No
208904	No	No
208905	No	No
208906	No	No
208907	No	No
208908	No	No
208909	No	No
208910	No	No
208911	No	No
208912	No	No
208913	No	No
208914	No	No
208915	No	Yes
208916	No	No
208917	No	No
208918	No	No
208919	No	No
208920	No	No
208921	No	No
208922	No	No
208923	No	No
208924	No	No
208925	No	No
208926	No	No
208927	No	No
208928	No	No
208929	No	No
208930	No	No
208931	No	No
208932	No	No
208933	No	No
208934	No	No
208935	No	No
208936	No	No
208937	No	No
208938	No	No
208939	No	No
208940	No	No
208941	No	No
208942	No	No
208943	No	No
208944	No	No
208945	No	No
208946	No	No
208947	No	No
208948	No	No
208949	No	No
208950	No	No
208951	No	No
208952	No	No
208953	No	No
208954	No	No
208955	No	No
208956	No	Yes
208957	No	No
208958	No	No
208959	No	No
208960	No	No
208961	No	No
208962	No	Yes
208963	No	Yes
208964	No	No
208965	No	No
208966	No	No
208967	No	No
208968	No	No
208969	No	No
208970	No	No
208971	No	No
208972	No	No
208973	No	No
208974	No	No
208975	No	No
208976	No	No
208977	No	No
208978	No	No
208979	No	No
208980	No	No
208981	No	Yes
208982	No	No
208983	No	No
208984	No	No
208985	No	Yes
208986	No	No
208987	No	No
208988	No	No
208989	No	No
208990	No	No
208991	No	No
208992	No	No
208993	No	No
208994	No	No
208995	No	No
208996	No	No
208997	No	No
208998	No	No
208999	No	Yes
209000	No	No
209001	No	No
209002	No	No
209003	No	No
