hhno	visgpno	sex	age	occ	soc	dact	nbalvis
110329	5	1	1	9995		0	35
110331	4	2	0	9995		0	4
110337	5	1	0	9995		0	2
110337	6	2	0	9995		0	2
110337	7	1	1	9985		0	16
110337	8	1	1	9985		0	16
110337	9	2	1	9985		0	16
110338	3	2	0	9995		0	4
110343	3	2	0	9995		0	5
110343	4	1	0	9995		0	42
110344	2	2	0	9995		0	10
110344	3	2	1	9985		0	10
110345	4	2	1	9985		0	14
110345	5	1	0	9995		0	5
110348	6	1	0	9995		0	25
110348	7	2	1	9985		0	32
110350	5	1	0	9995		0	52
110350	6	2	0	9995		0	39
110350	7	1	1	9995		0	16
110352	4	1	0	9995		0	4
110357	6	1	0	9995		0	5
110358	5	2	1	9985		0	17
110358	6	2	0	9995		0	7
110358	7	1	0	9995		0	7
110359	4	2	0	9995		0	4
110366	4	1	1	9985		0	5
110366	5	2	1	9985		0	5
110366	6	2	0	9995		0	28
110368	3	2	0	9995		0	4
110368	4	1	1	9985		0	4
110370	6	2	1	9985		0	7
110373	6	2	0	9995		0	2
110374	5	2	0	9995		0	15
110375	4	1	1	9985		0	12
110375	5	1	0	9995		0	5
110376	4	1	1	9985		0	14
110377	5	2	1	9995		0	4
110377	6	2	1	9995		0	3
110379	6	2	0	9995		0	4
110380	2	2	0	9995		0	4
110381	3	2	0	9995		0	9
110381	4	1	0	9995		0	9
110381	5	2	1	9985		0	5
110381	6	2	1	9985		0	42
110381	7	2	1	9985		0	4
110382	3	2	1	9985		0	41
110382	4	1	0	9995		0	6
110383	2	2	0	9995		0	12
110383	3	1	0	9995		0	2
110385	3	2	0	9995		0	4
110386	6	1	0	9995		0	2
110386	7	2	0	9995		0	2
110387	5	2	0	9995		0	4
110387	6	1	1	9985		0	4
110387	7	2	1	9985		0	4
110388	6	1	1	9995		0	5
110388	7	2	0	9995		0	13
110388	8	1	1	9995		0	3
110388	9	1	0	9995		0	5
110389	6	2	0	9995		0	4
110389	7	1	1	9985		0	8
110389	8	1	1	9985		0	4
110391	3	2	1	9985		0	4
110392	4	2	1	9985		0	4
110392	5	2	1	9985		0	4
110392	6	2	1	9985		0	9
